date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:15:30	79/79	---M-Z	200	added ('OK')	text/plain	etag:%226f-52eab7a32fb00-gzip%22	https://people.uleth.ca/robots.txt		(from )
23:15:30	28386/28386	---M-Z	200	added ('OK')	text/html	etag:%221jkpfvo-gzip%22	https://people.uleth.ca/~daniel.odonnell/	C:/Users/Jocelyn/OneDrive/Desktop/Dan_site_backup_3/people.uleth.ca/_daniel.odonnell/index.html	(from )
23:15:30	3638/3638	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22e36-421c94f466840%22	https://people.uleth.ca/~daniel.odonnell/transparent.ico	C:/Users/Jocelyn/OneDrive/Desktop/Dan_site_backup_3/people.uleth.ca/_daniel.odonnell/transparent.ico	(from https://people.uleth.ca/~daniel.odonnell/)
23:15:31	4523/4523	---M-Z	200	added ('OK')	text/css	etag:%2211ab-59b44ffc39120-gzip%22	https://people.uleth.ca/~daniel.odonnell/css/txpscreen.css	C:/Users/Jocelyn/OneDrive/Desktop/Dan_site_backup_3/people.uleth.ca/_daniel.odonnell/css/txpscreen.css	(from https://people.uleth.ca/~daniel.odonnell/)
23:15:31	1306/1306	---M-Z	200	added ('OK')	text/css	etag:%2251a-451261c861900-gzip%22	https://people.uleth.ca/~daniel.odonnell/css/txpprint.css	C:/Users/Jocelyn/OneDrive/Desktop/Dan_site_backup_3/people.uleth.ca/_daniel.odonnell/css/txpprint.css	(from https://people.uleth.ca/~daniel.odonnell/)
23:15:31	1890/1890	---M-Z	200	added ('OK')	text/css	etag:%22762-44d370bf52d80-gzip%22	https://people.uleth.ca/~daniel.odonnell/css/txpcommonstyles.css	C:/Users/Jocelyn/OneDrive/Desktop/Dan_site_backup_3/people.uleth.ca/_daniel.odonnell/css/txpcommonstyles.css	(from https://people.uleth.ca/~daniel.odonnell/)
23:15:32	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2006:15:31%20GMT	http://hypothes.is/embed.js	C:/Users/Jocelyn/OneDrive/Desktop/Dan_site_backup_3/hypothes.is/embed.4.delayed	(from https://people.uleth.ca/~daniel.odonnell/)
23:15:32	202/202	---M--	302	error ('Found')	text/html	date:Mon,%2009%20Dec%202024%2006:15:32%20GMT	https://hypothes.is/embed.js	C:/Users/Jocelyn/OneDrive/Desktop/Dan_site_backup_3/hypothes.is/embed.5.delayed	(from https://people.uleth.ca/~daniel.odonnell/)
23:15:32	307/307	---M--	302	error ('Found')	text/html	date:Mon,%2009%20Dec%202024%2004:08:34%20GMT	http://people.uleth.ca/~daniel.odonnell/images/11.png	C:/Users/Jocelyn/OneDrive/Desktop/Dan_site_backup_3/people.uleth.ca/_daniel.odonnell/images/11.6.delayed	(from https://people.uleth.ca/~daniel.odonnell/)
23:15:32	64078/64078	---M--	200	added ('OK')	image/png	etag:%22fa4e-421bfe5570c40%22	https://people.uleth.ca/~daniel.odonnell/images/11.png	C:/Users/Jocelyn/OneDrive/Desktop/Dan_site_backup_3/people.uleth.ca/_daniel.odonnell/images/11.png	(from https://people.uleth.ca/~daniel.odonnell/)
23:15:33	1266/1266	---M--	200	added ('OK')	image/gif	etag:%224f2-3fcd6468d53c0%22	https://people.uleth.ca/~daniel.odonnell/images/1.gif	C:/Users/Jocelyn/OneDrive/Desktop/Dan_site_backup_3/people.uleth.ca/_daniel.odonnell/images/1.gif	(from https://people.uleth.ca/~daniel.odonnell/)
